City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,78.91,clear sky,-33.65,115.3333,Observatory Guest House
2,Harper,LR,78.62,overcast clouds,4.375,-7.7169,Screensaver
9,Rikitea,PF,80.15,broken clouds,-23.1203,-134.9692,Pension Maro'i
10,Butaritari,KI,82.45,light rain,3.0707,172.7902,Isles Sunset Lodge
14,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
15,Puerto Ayora,EC,81.0,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Mazatlan,MX,77.0,clear sky,23.2167,-106.4167,Hotel Club Playamar
22,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
23,El Vigia,VE,76.05,scattered clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
27,Vaini,TO,86.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
33,Victoria,HK,75.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
42,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
44,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
45,Bubaque,GW,77.68,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
50,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
56,Dondo,MZ,75.2,few clouds,-19.6094,34.7431,Arco Iris
63,Poum,NC,79.74,scattered clouds,-20.2333,164.0167,Gîte kajeon
69,Kavieng,PG,83.84,moderate rain,-2.5744,150.7967,Nusa Island Retreat
71,Narasannapeta,IN,76.69,overcast clouds,18.4167,84.05,G.lingaraju home
73,Santa Cruz,BO,77.0,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
74,Vao,NC,76.15,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
80,Hithadhoo,MV,83.01,overcast clouds,-0.6,73.0833,Scoop Guest House
81,Loandjili,CG,77.0,moderate rain,-4.7561,11.8578,Résidence ARCHANGE
83,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Hotel Plaza Providencia
88,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
89,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
90,Pimentel,PE,75.2,clear sky,-6.8367,-79.9342,Casona Del Muelle
94,Monywa,MM,78.46,overcast clouds,22.1167,95.1333,Monywa Hotel
95,Charagua,BO,80.6,broken clouds,-19.8,-63.2167,Residencial Luismar
96,Touros,BR,78.8,clear sky,-5.1989,-35.4608,INN NEW HORIZON
97,Padang,ID,75.2,scattered clouds,-0.9492,100.3543,Mercure Padang
100,Dingle,PH,84.85,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
102,Acarau,BR,77.4,broken clouds,-2.8856,-40.12,castelo pizzaria
112,Cabo San Lucas,MX,80.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
117,Phangnga,TH,77.0,few clouds,8.4509,98.5298,Rattanapong Hotel
120,Marawi,PH,82.99,scattered clouds,7.9986,124.2928,Derogongan Residence
125,Vila Velha,BR,78.8,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
131,Atuona,PF,80.01,broken clouds,-9.8,-139.0333,Villa Enata
138,Port Hedland,AU,77.0,clear sky,-20.3167,118.5667,The Esplanade Hotel
140,Bambanglipuro,ID,81.84,clear sky,-7.95,110.2833,Puri Brata
142,Sinnamary,GF,76.93,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
146,Bengkulu,ID,79.92,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
147,Iquitos,PE,78.8,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
148,Arraial Do Cabo,BR,77.32,clear sky,-22.9661,-42.0278,Pousada Porto Praia
149,Geraldton,AU,80.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
156,Sao Joao Da Barra,BR,76.03,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
159,Mahebourg,MU,78.8,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
165,Sur,OM,80.98,clear sky,22.5667,59.5289,Sur Plaza Hotel
167,Guaruja,BR,82.0,few clouds,-23.9931,-46.2564,Charme Hotel Guarujá
171,Nueva Concepcion,GT,86.0,broken clouds,14.2,-91.3,Hotel Villa Las Flores
172,Yeppoon,AU,82.4,overcast clouds,-23.1333,150.7333,Villa Mar Colina
173,Lodwar,KE,82.62,scattered clouds,3.1191,35.5973,Turkwel Lodge
176,Vanimo,PG,81.84,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
182,Ca Mau,VN,83.7,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
184,Macapa,BR,80.6,scattered clouds,0.0389,-51.0664,Atalanta Hotel
186,Faanui,PF,83.14,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
189,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
193,Isangel,VU,84.2,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
224,Ambon,ID,87.8,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
229,Cidreira,BR,77.31,clear sky,-30.1811,-50.2056,Hotel Castelo
230,Matara,LK,75.87,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
231,Mount Isa,AU,82.4,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
233,Cravo Norte,CO,86.59,scattered clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
238,Kroya,ID,81.46,few clouds,-7.6331,109.2461,RUSTANTO Fam
250,Merauke,ID,84.99,overcast clouds,-8.4667,140.3333,PC
255,Barabai,ID,83.26,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
257,Biu,NG,78.66,overcast clouds,10.6129,12.1946,Emir's Palace
258,Bandarbeyla,SO,76.26,clear sky,9.4942,50.8122,JABIR HOTEL
260,Caloundra,AU,80.01,overcast clouds,-26.8,153.1333,Watermark Resort Caloundra
266,Tomohon,ID,86.0,few clouds,1.3346,124.8392,Gardenia Country Inn
271,Santa Rosa,PH,87.01,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
275,Ambulu,ID,81.61,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
276,Tagusao,PH,83.66,broken clouds,9.1924,117.8141,Toledo
288,Mongo,TD,80.71,overcast clouds,12.1844,18.692999999999998,Résidences du Programme FIDA
292,Patur,IN,79.09,overcast clouds,20.45,76.9333,Hotel Rana Washim Road Patur
293,Pitimbu,BR,77.0,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
295,Douentza,ML,82.92,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
296,Gorontalo,ID,88.25,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
300,Kuching,MY,77.0,moderate rain,1.55,110.3333,The Ranee Boutique Suites
303,Sambava,MG,75.27,overcast clouds,-14.2667,50.1667,Melrose
309,Kavaratti,IN,82.89,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
311,Mogadishu,SO,79.99,broken clouds,2.0371,45.3438,Olympic Hotel
322,Port Blair,IN,78.71,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
326,Blythe,US,82.4,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
328,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
329,Arlit,NE,79.77,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
330,Puerto El Triunfo,SV,82.4,clear sky,13.2833,-88.55,Hotel Jardin
339,Kaduqli,SD,79.68,overcast clouds,11.0167,29.7167,فندق الله جابو
