City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,78.91,37,0,4.09,clear sky
1,Riviera Beach,US,26.7753,-80.0581,68.0,73,40,18.41,scattered clouds
2,Harper,LR,4.375,-7.7169,78.62,86,100,5.46,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,46.4,76,40,28.77,scattered clouds
4,Yellowknife,CA,62.456,-114.3525,8.6,61,40,18.41,scattered clouds
5,Qaanaaq,GL,77.484,-69.3632,-7.04,96,100,2.3,overcast clouds
6,Tasiilaq,GL,65.6145,-37.6368,24.8,100,90,46.04,heavy snow
7,Hobart,AU,-42.8794,147.3294,69.01,49,75,12.66,broken clouds
8,Bluff,NZ,-46.6,168.3333,57.0,91,100,8.01,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,80.15,72,73,5.86,broken clouds
10,Butaritari,KI,3.0707,172.7902,82.45,79,79,17.34,light rain
11,Fairbanks,US,64.8378,-147.7164,21.2,35,1,10.36,clear sky
12,Nanortalik,GL,60.1432,-45.2371,31.42,97,100,19.89,snow
13,Mataura,NZ,-46.1927,168.8643,57.0,91,100,8.01,overcast clouds
14,Georgetown,MY,5.4112,100.3354,80.6,88,20,3.44,few clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,81.0,87,97,5.01,overcast clouds
16,East London,ZA,-33.0153,27.9116,69.39,77,88,17.81,overcast clouds
17,Mar Del Plata,AR,-38.0023,-57.5575,64.4,88,40,4.61,scattered clouds
18,Hermanus,ZA,-34.4187,19.2345,57.99,91,91,9.69,light rain
19,Mazatlan,MX,23.2167,-106.4167,77.0,44,1,11.5,clear sky
20,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,67,75,5.75,broken clouds
21,Machaneng,BW,-23.1862,27.4886,68.43,71,1,5.01,clear sky
22,Avarua,CK,-21.2078,-159.775,84.2,74,20,9.22,few clouds
23,El Vigia,VE,8.6219,-71.6506,76.05,83,46,3.29,scattered clouds
24,North Bend,US,43.4065,-124.2243,50.0,81,90,9.22,overcast clouds
25,The Pas,CA,53.8251,-101.2541,46.4,46,75,3.44,broken clouds
26,Albany,US,42.6001,-73.9662,48.2,31,20,16.11,few clouds
27,Vaini,TO,-21.2,-175.2,86.0,74,40,9.22,scattered clouds
28,Salalah,OM,17.0151,54.0924,73.4,56,0,4.61,clear sky
29,Shahrud,IR,36.4182,54.9763,42.37,54,100,5.14,overcast clouds
30,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,69.94,97,100,6.58,moderate rain
31,Hilo,US,19.7297,-155.09,71.6,83,90,8.05,light rain
32,Barrow,US,71.2906,-156.7887,-5.8,71,1,5.75,clear sky
33,Victoria,HK,22.2855,114.1577,75.0,78,96,10.18,overcast clouds
34,Tomatlan,MX,19.9333,-105.25,74.08,56,0,3.6,clear sky
35,Qaqortoq,GL,60.7167,-46.0333,32.0,93,90,10.36,light snow
36,Cape Town,ZA,-33.9258,18.4232,64.4,59,0,19.57,clear sky
37,Lagoa,PT,39.05,-27.9833,57.74,78,100,14.18,overcast clouds
38,Punta Arenas,CL,-53.15,-70.9167,50.0,62,40,16.11,scattered clouds
39,Tiznit,MA,29.5833,-9.5,51.57,89,57,10.65,broken clouds
40,Korla,CN,41.7597,86.1469,37.69,52,13,6.85,few clouds
41,Bredasdorp,ZA,-34.5322,20.0403,57.2,94,97,2.3,light rain
42,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,5.75,light rain
43,Kautokeino,NO,69.0125,23.0412,22.44,79,100,12.33,overcast clouds
44,Kahului,US,20.8947,-156.47,80.6,54,40,19.57,scattered clouds
45,Bubaque,GW,11.2833,-15.8333,77.68,69,100,18.37,overcast clouds
46,Yenagoa,NG,4.9247,6.2642,73.62,88,100,1.99,overcast clouds
47,Krasnoselkup,RU,65.7,82.4667,-3.55,75,100,24.09,overcast clouds
48,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,84,75,5.75,broken clouds
49,Saldanha,ZA,-33.0117,17.9442,60.8,72,0,11.5,clear sky
50,Souillac,MU,-20.5167,57.5167,78.8,89,40,8.05,light rain
51,Castro,BR,-24.7911,-50.0119,65.14,95,2,3.56,clear sky
52,Ancud,CL,-41.8697,-73.8203,53.01,76,0,3.44,clear sky
53,San Quintin,MX,30.4833,-115.95,61.23,68,12,23.73,few clouds
54,Nara,JP,34.6851,135.8049,61.0,100,75,4.61,broken clouds
55,Semenivka,UA,52.1783,32.5818,26.26,87,32,8.97,scattered clouds
56,Dondo,MZ,-19.6094,34.7431,75.2,94,20,2.3,few clouds
57,Santa Fe,AR,-31.6333,-60.7,70.0,90,99,2.51,overcast clouds
58,Tingo Maria,PE,-9.2895,-76.0088,71.04,97,100,1.54,overcast clouds
59,Paamiut,GL,61.994,-49.6678,25.47,94,100,26.75,light snow
60,Aginskoye,RU,51.1,114.53,25.16,71,11,15.19,few clouds
61,Jamestown,US,42.097,-79.2353,42.8,28,1,3.02,clear sky
62,Arman,RU,59.7,150.1667,9.72,73,85,3.27,overcast clouds
63,Poum,NC,-20.2333,164.0167,79.74,73,32,10.49,scattered clouds
64,Luderitz,NA,-26.6481,15.1594,66.11,69,24,24.11,few clouds
65,Areosa,PT,41.7178,-8.8571,53.6,58,0,11.5,clear sky
66,Ribeira Grande,PT,38.5167,-28.7,59.43,81,100,16.69,overcast clouds
67,Semirom,IR,31.4167,51.5667,36.1,50,0,3.15,clear sky
68,Rincon,US,32.296,-81.2354,51.8,76,90,8.05,overcast clouds
69,Kavieng,PG,-2.5744,150.7967,83.84,75,100,8.14,moderate rain
70,Goure,NE,13.9835,10.2704,82.29,21,94,1.63,overcast clouds
71,Narasannapeta,IN,18.4167,84.05,76.69,55,95,3.91,overcast clouds
72,Haileybury,CA,47.449,-79.6373,41.0,52,1,12.66,clear sky
73,Santa Cruz,BO,-17.8,-63.1667,77.0,78,98,8.05,overcast clouds
74,Vao,NC,-22.6667,167.4833,76.15,75,14,17.05,few clouds
75,Clyde River,CA,70.4692,-68.5914,-23.8,76,1,2.3,clear sky
76,Chokurdakh,RU,70.6333,147.9167,-11.36,93,12,4.5,few clouds
77,Ledyard,US,41.4398,-72.0142,44.01,70,1,6.91,clear sky
78,Longyearbyen,SJ,78.2186,15.6401,14.0,73,75,10.36,broken clouds
79,Port Alfred,ZA,-33.5906,26.891,65.46,88,17,17.25,light rain
80,Hithadhoo,MV,-0.6,73.0833,83.01,74,100,11.56,overcast clouds
81,Loandjili,CG,-4.7561,11.8578,77.0,94,20,2.3,moderate rain
82,Kodiak,US,57.79,-152.4072,37.4,87,90,8.05,light rain
83,Ixtapa,MX,20.7,-105.2,75.2,73,1,9.22,clear sky
84,Marsh Harbour,BS,26.5412,-77.0636,73.83,77,5,11.99,moderate rain
85,Srednekolymsk,RU,67.45,153.6833,-0.27,70,0,2.86,clear sky
86,Norman Wells,CA,65.282,-126.8329,1.4,60,20,10.36,few clouds
87,Saskylakh,RU,71.9167,114.0833,-35.73,97,98,10.04,overcast clouds
88,Kapaa,US,22.0752,-159.319,75.2,69,40,20.71,light rain
89,Saint-Pierre,RE,-21.3393,55.4781,77.0,73,0,5.75,clear sky
90,Pimentel,PE,-6.8367,-79.9342,75.2,64,0,14.97,clear sky
91,Zhangjiakou,CN,40.81,114.8794,30.56,24,0,20.49,clear sky
92,Fukue,JP,32.6881,128.8419,51.8,82,75,5.75,broken clouds
93,Awbari,LY,26.5921,12.7805,69.82,8,0,9.08,clear sky
94,Monywa,MM,22.1167,95.1333,78.46,19,100,3.56,overcast clouds
95,Charagua,BO,-19.8,-63.2167,80.6,57,75,4.61,broken clouds
96,Touros,BR,-5.1989,-35.4608,78.8,78,0,5.75,clear sky
97,Padang,ID,-0.9492,100.3543,75.2,94,40,4.61,scattered clouds
98,Ilebo,CD,-4.3167,20.5833,71.71,94,100,1.92,overcast clouds
99,Marsaxlokk,MT,35.8419,14.5431,57.2,100,40,24.16,scattered clouds
100,Dingle,PH,10.9995,122.6711,84.85,74,97,10.22,overcast clouds
101,Ginir,ET,7.1333,40.7,59.27,73,19,3.56,few clouds
102,Acarau,BR,-2.8856,-40.12,77.4,81,59,6.22,broken clouds
103,Port Elizabeth,ZA,-33.918,25.5701,62.6,88,0,10.36,clear sky
104,Hasaki,JP,35.7333,140.8333,62.6,94,75,17.27,broken clouds
105,Ekuvukeni,ZA,-28.4675,30.1551,57.65,93,37,0.94,scattered clouds
106,Nikolskoye,RU,59.7035,30.7861,28.0,93,90,15.66,snow
107,Hearst,CA,49.6835,-83.6665,48.2,25,0,11.5,clear sky
108,Usak,TR,38.5,29.4167,42.66,92,62,2.93,broken clouds
109,Lavrentiya,RU,65.5833,-171.0,3.13,80,100,13.65,overcast clouds
110,Cortez,US,37.3489,-108.5859,64.4,16,1,17.27,clear sky
111,Linjiang,CN,41.8069,126.9078,35.06,71,71,10.78,broken clouds
112,Cabo San Lucas,MX,22.8909,-109.9124,80.01,24,1,11.5,clear sky
113,Cherskiy,RU,68.75,161.3,-9.4,81,0,5.61,clear sky
114,Kaitangata,NZ,-46.2817,169.8464,60.01,72,99,4.0,overcast clouds
115,Odweyne,SO,9.4092,45.064,62.24,33,0,4.21,clear sky
116,Vysokogornyy,RU,50.1167,139.15,25.83,77,100,5.99,overcast clouds
117,Phangnga,TH,8.4509,98.5298,77.0,94,20,2.3,few clouds
118,Porto Walter,BR,-8.2686,-72.7439,73.15,97,100,3.24,overcast clouds
119,Shingu,JP,33.7333,135.9833,66.2,94,75,13.8,broken clouds
120,Marawi,PH,7.9986,124.2928,82.99,77,46,1.99,scattered clouds
121,Khatanga,RU,71.9667,102.5,-34.96,96,53,8.59,broken clouds
122,Portland,US,45.5234,-122.6762,53.01,71,75,8.05,broken clouds
123,Wilhelmsburg,AT,48.1057,15.6054,26.01,92,0,3.0,clear sky
124,Lompoc,US,34.6391,-120.4579,55.4,62,20,23.02,few clouds
125,Vila Velha,BR,-20.3297,-40.2925,78.8,83,75,5.99,broken clouds
126,New Norfolk,AU,-42.7826,147.0587,69.01,53,38,1.99,scattered clouds
127,Juneau,US,58.3019,-134.4197,30.2,86,90,13.8,light snow
128,Minot,US,48.2325,-101.2963,60.8,25,1,20.71,clear sky
129,Vestmanna,FO,62.1564,-7.1664,42.8,81,75,14.97,broken clouds
130,Aykhal,RU,66.0,111.5,-31.31,96,100,39.01,overcast clouds
131,Atuona,PF,-9.8,-139.0333,80.01,78,83,14.72,broken clouds
132,Birzai,LT,56.2,24.75,28.9,95,100,18.86,snow
133,Santona,ES,43.4439,-3.4576,48.99,61,90,5.75,overcast clouds
134,Henties Bay,NA,-22.116,14.2845,62.01,90,21,3.0,few clouds
135,Provideniya,RU,64.3833,-173.3,7.7,74,100,12.57,overcast clouds
136,Bethel,US,41.3712,-73.414,46.4,42,1,3.44,clear sky
137,Berlevag,NO,70.8578,29.0864,32.22,84,100,19.1,light snow
138,Port Hedland,AU,-20.3167,118.5667,77.0,61,3,14.97,clear sky
139,Upernavik,GL,72.7868,-56.1549,-3.77,98,100,12.1,overcast clouds
140,Bambanglipuro,ID,-7.95,110.2833,81.84,75,3,5.86,clear sky
141,Imeni Poliny Osipenko,RU,52.4201,136.4853,25.38,85,100,3.74,overcast clouds
142,Sinnamary,GF,5.3833,-52.95,76.93,86,55,8.57,broken clouds
143,Visnes,NO,59.3556,5.2242,41.0,70,40,31.07,scattered clouds
144,Dukat,RU,62.55,155.55,4.57,55,0,2.91,clear sky
145,Aklavik,CA,68.2191,-135.0107,-0.4,60,20,3.44,few clouds
146,Bengkulu,ID,-3.8004,102.2655,79.92,76,100,4.07,overcast clouds
147,Iquitos,PE,-3.7481,-73.2472,78.8,89,75,3.44,broken clouds
148,Arraial Do Cabo,BR,-22.9661,-42.0278,77.32,86,0,17.18,clear sky
149,Geraldton,AU,-28.7667,114.6,80.6,26,0,14.97,clear sky
150,Akcakoca,TR,41.0866,31.1162,44.76,89,100,8.55,overcast clouds
151,Dikson,RU,73.5069,80.5464,-22.99,80,8,17.36,clear sky
152,Zhangzhou,CN,24.5133,117.6556,62.6,82,90,13.42,overcast clouds
153,Demba,CD,-5.51,22.2667,69.91,86,100,1.21,overcast clouds
154,Mae Hong Son,TH,19.3003,97.9685,68.0,77,20,0.4,mist
155,Sant Feliu De Guixols,ES,41.7833,3.0333,46.99,74,0,4.61,clear sky
156,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.03,87,0,6.4,clear sky
157,Araguacu,BR,-12.9306,-49.8264,73.0,88,97,0.74,overcast clouds
158,Corinto,GR,37.9407,22.9573,55.99,67,82,1.01,broken clouds
159,Mahebourg,MU,-20.4081,57.7,78.8,89,40,8.05,moderate rain
160,Beringovskiy,RU,63.05,179.3167,0.36,91,100,11.99,overcast clouds
161,Chuy,UY,-33.6971,-53.4616,70.16,97,100,3.36,moderate rain
162,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.6,58,0,5.75,clear sky
163,Pueblo Nuevo,MX,23.3833,-105.3833,59.29,28,0,4.07,clear sky
