City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,1,US,2021-03-19 22:49:55,32,42.6001,-73.9662,36.0,5.75
1,Kanashevo,90,RU,2021-03-19 22:52:32,100,55.2169,62.0634,24.8,4.47
2,Lompoc,90,US,2021-03-19 22:51:41,82,34.6391,-120.4579,60.8,12.66
3,Ushuaia,75,AR,2021-03-19 22:50:52,57,-54.8,-68.3,50.0,25.32
4,Nemuro,0,JP,2021-03-19 22:52:32,74,43.3236,145.575,27.61,10.8
5,La Paz,40,BO,2021-03-19 22:52:33,76,-16.5,-68.15,46.4,8.05
6,Honiara,8,SB,2021-03-19 22:52:33,63,-9.4333,159.95,86.22,3.22
7,Khani,75,GE,2021-03-19 22:52:33,93,41.9563,42.9566,39.2,5.75
8,Qaanaaq,100,GL,2021-03-19 22:50:56,94,77.484,-69.3632,-6.84,1.19
9,Rikitea,94,PF,2021-03-19 22:50:54,76,-23.1203,-134.9692,80.98,13.0
10,Luena,100,AO,2021-03-19 22:52:34,93,-11.7833,19.9167,63.39,2.19
11,Marienburg,38,PL,2021-03-19 22:47:56,85,54.0359,19.0266,27.0,1.01
12,Maniitsoq,100,GL,2021-03-19 22:52:34,76,65.4167,-52.9,23.77,14.81
13,Santander,75,ES,2021-03-19 22:51:36,62,43.4647,-3.8044,51.01,12.66
14,Saint George,1,US,2021-03-19 22:52:08,23,37.1041,-113.5841,75.0,6.91
15,Mount Gambier,1,AU,2021-03-19 22:51:09,88,-37.8333,140.7667,60.8,9.22
16,Tasiilaq,18,GL,2021-03-19 22:51:18,68,65.6145,-37.6368,24.8,14.97
17,Jamestown,1,US,2021-03-19 22:50:20,30,42.097,-79.2353,35.6,6.15
18,Barrow,75,US,2021-03-19 22:51:21,77,71.2906,-156.7887,-5.8,5.75
19,Vuktyl,99,RU,2021-03-19 22:52:35,94,63.8567,57.3094,14.32,3.83
20,Kavaratti,5,IN,2021-03-19 22:52:35,71,10.5669,72.642,82.51,8.79
21,Mataura,99,NZ,2021-03-19 22:50:51,86,-46.1927,168.8643,55.99,4.0
22,Quelimane,0,MZ,2021-03-19 22:52:35,93,-17.8786,36.8883,74.79,2.19
23,Hithadhoo,100,MV,2021-03-19 22:51:17,72,-0.6,73.0833,82.78,10.87
24,Tuatapere,54,NZ,2021-03-19 22:51:36,86,-46.1333,167.6833,55.99,4.0
25,Letlhakane,60,BW,2021-03-19 22:52:36,42,-21.4167,25.5833,75.76,8.55
26,Murgab,75,TM,2021-03-19 22:52:36,87,37.4966,61.9714,53.6,11.5
27,Hermanus,100,ZA,2021-03-19 22:51:29,85,-34.4187,19.2345,64.0,12.19
28,Busselton,96,AU,2021-03-19 22:51:10,43,-33.65,115.3333,71.33,4.05
29,Oranjemund,62,NA,2021-03-19 22:52:37,84,-28.55,16.4333,63.07,17.22
30,Constitucion,49,CL,2021-03-19 22:51:11,72,-35.3333,-72.4167,57.36,4.97
31,Luanda,75,AO,2021-03-19 22:52:05,83,-8.8368,13.2343,80.6,8.05
32,Bredasdorp,100,ZA,2021-03-19 22:50:44,88,-34.5322,20.0403,64.4,6.91
33,Cape Town,20,ZA,2021-03-19 22:50:41,68,-33.9258,18.4232,66.99,19.57
34,Kieta,100,PG,2021-03-19 22:52:37,65,-6.2167,155.6333,85.1,1.83
35,Gobabis,15,NA,2021-03-19 22:52:37,75,-22.45,18.9667,66.63,4.16
36,Lewiston,1,US,2021-03-19 22:52:38,20,44.1003,-70.2148,35.6,11.5
37,Portland,40,US,2021-03-19 22:51:49,54,45.5234,-122.6762,54.0,13.8
38,Manali,40,IN,2021-03-19 22:52:38,83,13.1667,80.2667,75.2,6.2
39,Qaqortoq,90,GL,2021-03-19 22:50:22,40,60.7167,-46.0333,33.8,12.66
40,Dingle,42,PH,2021-03-19 22:50:59,89,10.9995,122.6711,78.44,7.2
41,Bluff,96,NZ,2021-03-19 22:50:56,86,-46.6,168.3333,55.99,4.0
42,Sioux Lookout,20,CA,2021-03-19 22:50:52,28,50.1001,-91.917,51.8,12.66
43,Airai,15,TL,2021-03-19 22:51:05,84,-8.9266,125.4092,64.2,2.13
44,Kahului,20,US,2021-03-19 22:47:13,57,20.8947,-156.47,77.0,19.57
45,Carnarvon,0,AU,2021-03-19 22:50:46,49,-24.8667,113.6333,69.8,11.5
46,Port Alfred,97,ZA,2021-03-19 22:51:32,84,-33.5906,26.891,68.65,13.56
47,Esperance,0,AU,2021-03-19 22:51:38,94,-33.8667,121.9,59.0,13.8
48,Laguna,75,US,2021-03-19 22:52:39,55,38.421,-121.4238,62.01,6.91
49,Clyde River,40,CA,2021-03-19 22:51:05,64,70.4692,-68.5914,-14.8,0.85
50,Kapaa,90,US,2021-03-19 22:50:58,83,22.0752,-159.319,69.8,18.41
51,Udachnyy,100,RU,2021-03-19 22:52:40,97,66.4167,112.4,-2.69,12.19
52,Leningradskiy,98,RU,2021-03-19 22:51:15,77,69.3833,178.4167,-13.59,2.62
53,Geraldton,0,AU,2021-03-19 22:52:07,30,-28.7667,114.6,69.8,10.36
54,Te Anau,79,NZ,2021-03-19 22:50:06,65,-45.4167,167.7167,56.86,0.98
55,Saskylakh,33,RU,2021-03-19 22:51:56,98,71.9167,114.0833,-34.08,4.79
56,Victoria,41,HK,2021-03-19 22:46:56,87,22.2855,114.1577,73.99,6.38
57,Mar Del Plata,0,AR,2021-03-19 22:51:42,64,-38.0023,-57.5575,69.01,6.91
58,Ilulissat,75,GL,2021-03-19 22:50:58,46,69.2167,-51.1,23.0,24.16
59,Bayanday,96,RU,2021-03-19 22:52:40,98,53.0661,105.5139,6.24,3.47
60,East London,98,ZA,2021-03-19 22:51:02,90,-33.0153,27.9116,70.57,11.01
61,Khatanga,100,RU,2021-03-19 22:51:07,98,71.9667,102.5,-28.03,5.77
62,Bambous Virieux,75,MU,2021-03-19 22:51:22,78,-20.3428,57.7575,78.8,10.36
63,Cherskiy,0,RU,2021-03-19 22:51:20,92,68.75,161.3,-22.88,4.85
64,Saurimo,69,AO,2021-03-19 22:52:41,83,-9.6608,20.3916,66.79,1.36
65,Sinnamary,31,GF,2021-03-19 22:47:23,81,5.3833,-52.95,76.44,8.14
66,Anqing,99,CN,2021-03-19 22:52:41,85,30.5092,117.0506,47.41,9.1
67,Sao Felix Do Xingu,100,BR,2021-03-19 22:52:42,99,-6.6447,-51.995,70.21,1.12
68,Mashpee,1,US,2021-03-19 22:52:42,47,41.6484,-70.4811,36.0,11.5
69,Oxford,20,GB,2021-03-19 22:48:25,93,51.7522,-1.256,42.01,2.3
70,Punta Arenas,40,CL,2021-03-19 22:51:01,62,-53.15,-70.9167,50.0,39.12
71,Lagoa,97,PT,2021-03-19 22:52:42,84,39.05,-27.9833,58.87,17.9
72,Bengkulu,100,ID,2021-03-19 22:46:30,88,-3.8004,102.2655,75.87,3.71
73,Araouane,0,ML,2021-03-19 22:52:43,9,18.9048,-3.5265,74.8,5.01
74,Port Elizabeth,75,ZA,2021-03-19 22:51:06,68,-33.918,25.5701,68.0,8.05
75,Pevek,100,RU,2021-03-19 22:51:30,88,69.7008,170.3133,-15.32,1.14
76,Georgetown,20,MY,2021-03-19 22:50:53,64,5.4112,100.3354,78.8,3.44
77,Havelock,92,US,2021-03-19 22:52:43,60,34.8791,-76.9013,44.01,11.01
