City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kavaratti,69,IN,2021-03-17 07:41:41,66,10.5669,72.642,83.23,2.75
1,La Ronge,0,CA,2021-03-17 07:41:42,64,55.1001,-105.2842,28.4,5.75
2,Vaini,20,TO,2021-03-17 07:41:42,94,-21.2,-175.2,77.0,3.44
3,Khatanga,100,RU,2021-03-17 07:41:42,94,71.9667,102.5,-22.77,14.99
4,Humaita,38,BR,2021-03-17 07:41:43,92,-7.5061,-63.0208,73.9,1.74
5,Gashua,60,NG,2021-03-17 07:41:43,14,12.871,11.0482,87.87,10.6
6,Dinard,20,FR,2021-03-17 07:41:43,93,48.6314,-2.0614,44.01,2.3
7,Grand-Santi,96,GF,2021-03-17 07:41:43,99,4.25,-54.3833,67.86,1.99
8,Bengkulu,80,ID,2021-03-17 07:41:44,68,-3.8004,102.2655,84.29,7.34
9,Sabha,0,LY,2021-03-17 07:41:44,22,27.0377,14.4283,64.81,8.95
10,Chuy,61,UY,2021-03-17 07:41:44,96,-33.6971,-53.4616,69.33,6.42
11,Sochi,40,RU,2021-03-17 07:41:40,58,43.6,39.7303,59.0,17.9
12,Ushuaia,75,AR,2021-03-17 07:41:00,81,-54.8,-68.3,46.4,11.5
13,Lebu,1,CL,2021-03-17 07:41:45,83,-37.6167,-73.65,53.67,13.11
14,Port Alfred,83,ZA,2021-03-17 07:41:45,87,-33.5906,26.891,71.01,3.0
15,Puerto Ayora,90,EC,2021-03-17 07:41:45,94,-0.7393,-90.3518,75.0,1.01
16,Busselton,0,AU,2021-03-17 07:41:45,52,-33.65,115.3333,87.01,5.01
17,Shirgaon,40,IN,2021-03-17 07:41:46,55,19.7,72.7,89.6,6.91
18,Rikitea,100,PF,2021-03-17 07:41:46,84,-23.1203,-134.9692,76.01,19.51
19,Avarua,75,CK,2021-03-17 07:39:03,83,-21.2078,-159.775,80.6,9.22
20,Dalnegorsk,11,RU,2021-03-17 07:41:46,72,44.5604,135.5701,33.82,13.04
21,Yellowknife,90,CA,2021-03-17 07:41:46,78,62.456,-114.3525,5.0,6.91
22,Dire Dawa,20,ET,2021-03-17 07:41:47,33,9.5931,41.8661,84.25,1.45
23,Cherskiy,41,RU,2021-03-17 07:41:47,98,68.75,161.3,-20.9,5.06
24,Bambous Virieux,40,MU,2021-03-17 07:41:47,70,-20.3428,57.7575,84.99,13.8
25,Lerwick,20,GB,2021-03-17 07:41:48,71,60.1545,-1.1494,46.4,18.41
26,Moyale,100,KE,2021-03-17 07:41:48,51,3.5167,39.0584,79.9,12.88
27,Hualmay,100,PE,2021-03-17 07:41:48,77,-11.0964,-77.6139,72.14,7.47
28,Airai,100,TL,2021-03-17 07:41:48,92,-8.9266,125.4092,66.58,1.54
29,San Carlos Del Zulia,100,VE,2021-03-17 07:41:49,95,9.0,-71.9135,73.8,3.22
30,Broken Hill,40,AU,2021-03-17 07:41:49,46,-31.95,141.4333,75.2,17.27
31,Albany,39,US,2021-03-17 07:39:37,52,42.6001,-73.9662,30.0,1.21
32,Jasper,1,US,2021-03-17 07:41:49,62,37.2001,-94.3502,59.0,10.36
33,Chermoz,100,RU,2021-03-17 07:41:50,88,58.787,56.1489,28.87,12.93
34,Hobart,20,AU,2021-03-17 07:37:39,49,-42.8794,147.3294,68.0,14.97
35,Kaitangata,22,NZ,2021-03-17 07:41:50,71,-46.2817,169.8464,51.01,3.0
36,Kurchum,58,KZ,2021-03-17 07:41:50,81,48.5722,83.6542,14.43,3.89
37,Dikson,0,RU,2021-03-17 07:41:51,96,73.5069,80.5464,-23.06,7.25
38,Bredasdorp,33,ZA,2021-03-17 07:41:51,77,-34.5322,20.0403,68.0,3.44
39,Havoysund,75,NO,2021-03-17 07:41:51,68,70.9963,24.6622,23.0,8.05
40,Atuona,26,PF,2021-03-17 07:41:51,70,-9.8,-139.0333,80.46,10.38
41,Port Hardy,90,CA,2021-03-17 07:41:52,75,50.6996,-127.4199,44.6,4.61
42,Klaksvik,75,FO,2021-03-17 07:41:52,100,62.2266,-6.589,44.6,6.91
43,Sorland,75,NO,2021-03-17 07:41:52,93,67.667,12.6934,37.4,6.91
44,Nanortalik,100,GL,2021-03-17 07:41:53,95,60.1432,-45.2371,29.43,11.5
45,Kattivakkam,40,IN,2021-03-17 07:41:53,58,13.2167,80.3167,87.8,5.75
46,Saint-Joseph,0,RE,2021-03-17 07:41:53,66,-21.3667,55.6167,86.0,25.32
47,Vallenar,0,CL,2021-03-17 07:41:53,83,-28.5708,-70.7581,54.5,1.36
